theme,nom_event,adresse,ville,cp,dep,adresse_complete,date_d,date_f,url_event,url_image,age,prix,keyword,desc,coor,texte_complet
Atelier,Atelier Art & Nature - Mail Art,       ,BATZ-SUR-MER,,44,        BATZ-SUR-MER,2026-07-26,2026-08-14,,,,,,,"[47.273649, -2.473022]",atelier art & nature - mail art  
Atelier,Atelier cosmétique: rouge à lèvres,    4 Rue Fernand de Mun  ,PORNIC,44210.0,44,    4 Rue Fernand de Mun   PORNIC,2026-08-22,2026-08-22,,,,,,,"[47.114824, -2.10545]",atelier cosmétique: rouge à lèvres  
Fête,Bal de la St valentin par le comité Henri Dunant,  salle Printania    ,LA FLECHE,72200.0,72,  salle Printania     LA FLECHE,2027-02-13,2027-02-13,,,,,,,"[47.696529, -0.088161]",bal de la st valentin par le comité henri dunant  
Concert,Concert Johannes,    Bourg de Saint-Michel-Chef-Chef rue du Chevecier,SAINT-MICHEL-CHEF-CHEF,44730.0,44,    Bourg de Saint-Michel-Chef-Chef rue du Chevecier SAINT-MICHEL-CHEF-CHEF,2026-08-18,2026-08-18,,,,,,,"[47.181258, -2.147873]",concert johannes  
Exposition,Concours photo : Patrimoine du Pays sabolien et nuage(s),       ,,,72,,2026-06-23,2026-08-26,,,,,,,"[43.700716, -0.425606]",concours photo : patrimoine du pays sabolien et nuage(s)  
,Dans les pas du cueilleur d'algues,       ,LA PLAINE-SUR-MER,44770.0,44,        LA PLAINE-SUR-MER,2026-07-20,2026-08-14,,,,,,,"[47.14491, -2.182656]",dans les pas du cueilleur d'algues  
Sport,Découverte de la pêche à pied,       ,PORNIC,44760.0,44,        PORNIC,2026-08-12,2026-09-10,,,,,,,"[47.123771, -2.054216]",découverte de la pêche à pied  
Exposition,EXPOSITION EN PLEIN AIR : HORIZON MIROIR,       ,SAINT-BREVIN-LES-PINS,44250.0,44,        SAINT-BREVIN-LES-PINS,2026-06-12,2026-11-07,,,,,,,"[47.231784, -2.156649]",exposition en plein air : horizon miroir  
Festival,Festival 22 v'la le polar sur la côte de Jade,    Différents lieux  ,PORNIC,44210.0,44,    Différents lieux   PORNIC,2026-08-13,2026-08-16,,,,,,,"[49.598251, 4.944572]",festival 22 v'la le polar sur la côte de jade  
Sport,Rallye vélo avec Yakavélo,    Yakavélo 38 rue de Gravette,LA PLAINE-SUR-MER,44770.0,44,    Yakavélo 38 rue de Gravette LA PLAINE-SUR-MER,2026-07-19,2026-08-30,,,,,,,"[47.153752, -2.212359]",rallye vélo avec yakavélo  
Fête,Soirée Vintage,"    Complexe sportif de la Vigne, Rue des sports  ",MESQUER,44420.0,44,"    Complexe sportif de la Vigne, Rue des sports   MESQUER",2026-08-12,2026-08-12,,,,,,,"[50.056859, 4.071032]",soirée vintage  
,Séances de Yoga,       ,LES MOUTIERS-EN-RETZ,44760.0,44,        LES MOUTIERS-EN-RETZ,2026-07-20,2026-07-24,,,,,,,"[47.055217, -1.995496]",séances de yoga  
Spectacle,Théâtre comique,  Salle coppélia    ,LA FLECHE,72200.0,72,  Salle coppélia     LA FLECHE,2026-11-29,2026-11-29,,,,,,,,théâtre comique  
,Traversées avant-saison vers Belle-île,    Port de Plaisance  ,LA TURBALLE,44420.0,44,    Port de Plaisance   LA TURBALLE,2026-09-02,2026-09-27,,,,,,,"[50.945331, 1.865133]",traversées avant-saison vers belle-île  
