theme,nom_event,adresse,ville,cp,dep,adresse_complete,date_d,date_f,url_event,url_image,age,prix,keyword,desc
,Le chantier de l'église Saint-Georges,1 Place Dr Maurice Kubler,Sélestat,<NA>,,1 Place Dr Maurice Kubler <NA> Sélestat,2026-10-17,2026-10-17,,https://cdn.openagenda.com/main/e9dba59410734eddae80f4eae0af7d45.base.image.jpg,,,,Le chantier de l'église Saint-Georges
,Sur les traces de l'ancienne halle aux blés,1 Place Dr Maurice Kubler,Sélestat,<NA>,,1 Place Dr Maurice Kubler <NA> Sélestat,2026-10-18,2026-10-18,,https://cdn.openagenda.com/main/fa8b4ecde5c44dab9a95c30cee2d36ab.base.image.jpg,,,,Sur les traces de l'ancienne halle aux blés
,test 2,15 RUE DU DOCTEUR ALBERT BARRAUD,BORDEAUX,<NA>,,15 RUE DU DOCTEUR ALBERT BARRAUD <NA> BORDEAUX,2026-07-25,2026-07-25,,https://cdn.openagenda.com/main/b10cbbefa3a447e3a9c6bfd3fc7df469.base.image.jpg,,,,test 2
,test 1,"8, avenue Illyssia",Marseille,<NA>,,"8, avenue Illyssia <NA> Marseille",2026-07-25,2026-07-25,,https://cdn.openagenda.com/main/091eaac78c8d47bda4494519dce1b46d.base.image.jpg,,,,test
,Imugi l’apprenti dragon,80 allée darius milhaud,Paris,<NA>,,80 allée darius milhaud <NA> Paris,2026-07-28,2026-08-31,,https://cdn.openagenda.com/main/ba174d086c4642dcbf0de0e26a7076fe.base.image.jpg,,,,"Découvrez ou redécouvrez les contes emblématiques de la Corée à travers une histoire poétique, drôle et touchante en théâtre d’ombres."
,Baba Yaga la sorcière,80 allée darius milhaud,Paris,<NA>,,80 allée darius milhaud <NA> Paris,2026-07-28,2026-08-06,,https://cdn.openagenda.com/main/6277fd43e50942a2a2d1c7950cdc887f.base.image.jpg,,,,Découvrez comment Baba Yaga est devenue Baba Yaga !
,Initiation à la pratique de la boule de Fort pour les scolaires,19 avenue François-Mitterrand,Chinon,37500,,19 avenue François-Mitterrand 37500 Chinon,2026-09-18,2026-09-18,,https://cdn.openagenda.com/main/db9001c3dd864651811e4c0ed1d461f1.base.image.jpg,,,,"Venez à notre rencontre, vous pourrez vous initier à la pratique de boules de fort en poussant quelques boules et nous vous raconterons l'histoire de notre jeu."
,Visite guidée par un magistrat,15 rue d'Escures,Orléans,45000,,15 rue d'Escures 45000 Orléans,2026-09-18,2026-09-18,,https://cdn.openagenda.com/main/153c3265b8b449b0bf9cad49ae79d7e7.base.image.jpg,,,,Visite réservée aux lycéens en première ou terminale.
,Visite et exposition commentée,1 place de la République,Blois,41000,,1 place de la République 41000 Blois,2026-09-18,2026-09-18,,https://cdn.openagenda.com/main/d1b46e5727864cec8fe331a81f074db8.base.image.jpg,,,,"Le vendredi 18 septembre 2026, à la veille des journées européennes du patrimoine, le conseil départemental de Loir-et-Cher ouvrira les portes de l’hôtel du département au public scolaire."
,Visite commentée de la salle de l'Institut,Place Sainte-Croix,Orléans,45000,,Place Sainte-Croix 45000 Orléans,2026-09-18,2026-09-18,,https://cdn.openagenda.com/main/d7a0a15feeb540d4be41eeaf826d07db.base.image.jpg,,,,"L'Institut, c'est le cœur battant du conservatoire. Cette salle aux allures de Versailles accueille de nombreux concerts toute l'année, mais elle a aussi d'autres facettes... Laissez-vous surprendre…"
