theme,nom_event,adresse,ville,cp,dep,adresse_complete,date_d,date_f,url_event,url_image,age,prix,keyword,desc
Marchés,Marché Hebdomadaire vendredi de chaque semaine,parking de la salle polyvalente,AMBRONAY,01500,01,parking de la salle polyvalente 01500 AMBRONAY,2026-07-10,2026-07-10,,,,,,
Marchés,Corveissiat fait son marché,Place Charles Blétel,CORVEISSIAT,01250,01,Place Charles Blétel 01250 CORVEISSIAT,2026-07-10,2026-07-10,,,,,,
Marchés de Producteurs,Marché de producteurs du vendredi,"Parking du Mas Roux 40 Rue du Midi, 01700 Beynost",BEYNOST,01700,01,"Parking du Mas Roux 40 Rue du Midi, 01700 Beynost 01700 BEYNOST",2026-07-10,2026-07-10,,,,,,
Marchés bio,Marché Bio vendredi de chaque semaine,place du village,AMBERIEU-EN-BUGEY,01500,01,place du village 01500 AMBERIEU-EN-BUGEY,2026-07-10,2026-07-10,,,,,,
Marchés,Marché alimentaire vendredi de chaque semaine,"quartier gare, devant la gare sncf",AMBERIEU-EN-BUGEY,01500,01,"quartier gare, devant la gare sncf 01500 AMBERIEU-EN-BUGEY",2026-07-10,2026-07-10,,,,,,
Marchés,Marché Hebdomadaire vendredi de chaque semaine,place Allombert,CERDON,01450,01,place Allombert 01450 CERDON,2026-07-10,2026-07-10,,,,,,
Marchés,Marché Hebdomadaire vendredi de chaque semaine,place Freihalden,ARS-SUR-FORMANS,01480,01,place Freihalden 01480 ARS-SUR-FORMANS,2026-07-10,2026-07-10,,,,,,
Marchés,Marché Hebdomadaire vendredi de chaque semaine,place de la Mairie,ARBENT,01100,01,place de la Mairie 01100 ARBENT,2026-07-10,2026-07-10,,,,,,
Marchés,Marché hebdomadaire vendredi,centre,CHALAMONT,01320,01,centre 01320 CHALAMONT,2026-07-10,2026-07-10,,,,,,
Marchés,Marché hebdomadaire,,CESSY,01170,01, 01170 CESSY,2026-07-10,2026-07-10,,,,,,
Marchés,Marché,Esplanade de la Mairie 01120 Dagneux,DAGNEUX,01120,01,Esplanade de la Mairie 01120 Dagneux 01120 DAGNEUX,2026-07-10,2026-07-10,,,,,,
Marchés,Marché tous les vendredis matins,place de la Stèle,ARTEMARE,01510,01,place de la Stèle 01510 ARTEMARE,2026-07-10,2026-07-10,,,,,,
Marchés,Marché hebdomadaire VENDREDI MATIN,Place Merlino,FAREINS,01480,01,Place Merlino 01480 FAREINS,2026-07-10,2026-07-10,,,,,,
Marchés,Déballage les vendredis matin,place de la Liberté,LAGNIEU,01150,01,place de la Liberté 01150 LAGNIEU,2026-07-10,2026-07-10,,,,,,
Marchés,Marché du samedi matin,Marché couvert + Champ de Foire 1000 Bourg-en-Bresse,BOURG-EN-BRESSE,01000,01,Marché couvert + Champ de Foire 1000 Bourg-en-Bresse 01000 BOURG-EN-BRESSE,2026-07-11,2026-07-11,,,,,,
