,Unnamed: 0,theme,nom_event,adresse,ville,cp,dep,adresse_complete,date_d,date_f,url_event,url_image,age,prix,keyword,desc,coor
0,0,,Lieu d'Accueil Enfants Parents à L'Éprouvette,22630,Saint-André-des-Eaux,22630,,22630 22630 Saint-André-des-Eaux,2027-03-26,2027-07-02,,https://cdn.openagenda.com/main/14a404d7974d4c999630b2fdf0f4a153.base.image.jpg,,,,"L’Éprouvette devient, tous les jeudis matins, un lieu d’éveil, de socialisation pour les enfants de 0 à 6 ans, mais aussi une “bulle d’oxygène” pour les parents, grands-parents et futurs parents.","[48.371871, -2.007607]"
1,1,,Imugi l’apprenti dragon,80 allée darius milhaud,Paris,,,80 allée darius milhaud  Paris,2026-07-28,2026-08-31,,https://cdn.openagenda.com/main/ba174d086c4642dcbf0de0e26a7076fe.base.image.jpg,,,,"Découvrez ou redécouvrez les contes emblématiques de la Corée à travers une histoire poétique, drôle et touchante en théâtre d’ombres.","[48.885945, 2.393201]"
2,2,,Baba Yaga la sorcière,80 allée darius milhaud,Paris,,,80 allée darius milhaud  Paris,2026-07-28,2026-08-06,,https://cdn.openagenda.com/main/6277fd43e50942a2a2d1c7950cdc887f.base.image.jpg,,,,Découvrez comment Baba Yaga est devenue Baba Yaga !,"[48.885945, 2.393201]"
3,3,,Initiation à la pratique de la boule de Fort pour les scolaires,19 avenue François-Mitterrand,Chinon,37500,,19 avenue François-Mitterrand 37500 Chinon,2026-09-18,2026-09-18,,https://cdn.openagenda.com/main/db9001c3dd864651811e4c0ed1d461f1.base.image.jpg,,,,"Venez à notre rencontre, vous pourrez vous initier à la pratique de boules de fort en poussant quelques boules et nous vous raconterons l'histoire de notre jeu.","[47.168488, 0.233384]"
4,4,,Visite guidée par un magistrat,15 rue d'Escures,Orléans,45000,,15 rue d'Escures 45000 Orléans,2026-09-18,2026-09-18,,https://cdn.openagenda.com/main/153c3265b8b449b0bf9cad49ae79d7e7.base.image.jpg,,,,Visite réservée aux lycéens en première ou terminale.,"[47.902578, 1.906243]"
5,5,,Visite et exposition commentée,1 place de la République,Blois,41000,,1 place de la République 41000 Blois,2026-09-18,2026-09-18,,https://cdn.openagenda.com/main/d1b46e5727864cec8fe331a81f074db8.base.image.jpg,,,,"Le vendredi 18 septembre 2026, à la veille des journées européennes du patrimoine, le conseil départemental de Loir-et-Cher ouvrira les portes de l’hôtel du département au public scolaire.","[47.589486, 1.333659]"
6,6,,Visite commentée de la salle de l'Institut,Place Sainte-Croix,Orléans,45000,,Place Sainte-Croix 45000 Orléans,2026-09-18,2026-09-18,,https://cdn.openagenda.com/main/d7a0a15feeb540d4be41eeaf826d07db.base.image.jpg,,,,"L'Institut, c'est le cœur battant du conservatoire. Cette salle aux allures de Versailles accueille de nombreux concerts toute l'année, mais elle a aussi d'autres facettes... Laissez-vous surprendre…","[47.901778, 1.909035]"
7,7,,Visite guidée de l'atelier de Calder,12 Route du Carroi,Saché,37190,,12 Route du Carroi 37190 Saché,2026-09-18,2026-09-19,,https://cdn.openagenda.com/main/778401d6ccc247069dc1430e497ec85e.base.image.jpg,,,,"Venez découvrir l'ancien atelier du sculpteur américain Alexander Calder, situé au cœur de la Vallée de l'Indre.","[47.260876, 0.535105]"
8,8,,Train touristique du Bas-Berry,96 bis avenue de la Gare,Écueillé,36240,,96 bis avenue de la Gare 36240 Écueillé,2026-09-18,2026-09-18,,https://cdn.openagenda.com/main/63b95f7e9e2642dcb73a10b7020fa875.base.image.jpg,,,,"Le Train touristique du Bas-Berry, animé par l'association SABA, préserve avec les communes traversées le patrimoine bâti et technique de l'ancienne voie ferrée.","[47.081753, 1.352398]"
9,9,,Visite guidée du Château de Fontenay,5 Fontenay,Lignières-de-Touraine,37130,,5 Fontenay 37130 Lignières-de-Touraine,2026-09-20,2026-09-20,,https://cdn.openagenda.com/main/687dee274e00490ea76bd034a1d6d8d5.base.image.jpg,,,,"Visite commentée de 1 heure environ. Lieu de rendez-vous pour les visites : à l'extérieur, devant le portail en bois du château. Il ne sera pas possible de rejoindre une visite guidée qui a débuté.","[47.304305, 0.431612]"
