,theme,nom_event,adresse,ville,cp,dep,adresse_complete,date_d,date_f,url_event,url_image,age,prix,keyword,desc,coor
0,Marchés,Marché alimentaire vendredi de chaque semaine,"quartier gare, devant la gare sncf",AMBERIEU-EN-BUGEY,01500,01,"quartier gare, devant la gare sncf 01500 AMBERIEU-EN-BUGEY",2026-07-03,2026-07-03,,,,,,,"[45.959818, 5.365367]"
1,Brocantes,Broc'en Bresse,Halle du champ de foire,BOURG-EN-BRESSE,01000,01,Halle du champ de foire 01000 BOURG-EN-BRESSE,2026-07-03,2026-07-03,,,,,,,"[46.207013, 5.229934]"
2,Marchés,Marché Hebdomadaire vendredi de chaque semaine,place Allombert,CERDON,01450,01,place Allombert 01450 CERDON,2026-07-03,2026-07-03,,,,,,,"[46.080499, 5.465641]"
3,Marchés,Marché hebdomadaire vendredi,centre,CHALAMONT,01320,01,centre 01320 CHALAMONT,2026-07-03,2026-07-03,,,,,,,"[45.996635, 5.170219]"
4,Marchés,Corveissiat fait son marché,Place Charles Blétel,CORVEISSIAT,01250,01,Place Charles Blétel 01250 CORVEISSIAT,2026-07-03,2026-07-03,,,,,,,"[46.24129, 5.480364]"
5,Marchés de créateurs,Marché de la création,Allée de la Passerelle,TREVOUX,01600,01,Allée de la Passerelle 01600 TREVOUX,2026-07-03,2026-07-03,,,,,,,"[45.939013, 4.794138]"
6,Marchés,Marché,Esplanade de la Mairie 01120 Dagneux,DAGNEUX,01120,01,Esplanade de la Mairie 01120 Dagneux 01120 DAGNEUX,2026-07-03,2026-07-03,,,,,,,"[45.850923, 5.075377]"
7,Marchés,Marché Hebdomadaire vendredi de chaque semaine,place de la Mairie,ARBENT,01100,01,place de la Mairie 01100 ARBENT,2026-07-03,2026-07-03,,,,,,,"[46.295345, 5.681675]"
8,Bourses,Bourse numismatique et cartophile,Salle de l'Harmonie 31 route de Vouvray Bellegarde-sur-Valserine,BELLEGARDE-SUR-VALSERINE,01200,01,Salle de l'Harmonie 31 route de Vouvray Bellegarde-sur-Valserine 01200 BELLEGARDE-SUR-VALSERINE,2026-07-03,2026-07-03,,,,,,,"[46.105966, 5.8197]"
9,Marchés,Marché Hebdomadaire vendredi de chaque semaine,place Freihalden,ARS-SUR-FORMANS,01480,01,place Freihalden 01480 ARS-SUR-FORMANS,2026-07-03,2026-07-03,,,,,,,"[45.993177, 4.820518]"
10,Marchés,Marché tous les vendredis matins,place de la Stèle,ARTEMARE,01510,01,place de la Stèle 01510 ARTEMARE,2026-07-03,2026-07-03,,,,,,,"[45.874687, 5.698268]"
11,Marchés de Producteurs,Marché de producteurs du vendredi,"Parking du Mas Roux 40 Rue du Midi, 01700 Beynost",BEYNOST,01700,01,"Parking du Mas Roux 40 Rue du Midi, 01700 Beynost 01700 BEYNOST",2026-07-03,2026-07-03,,,,,,,"[45.838758, 4.999094]"
12,Marchés,Marché hebdomadaire,,CESSY,01170,01, 01170 CESSY,2026-07-03,2026-07-03,,,,,,,"[46.315877, 6.079221]"
13,Marchés,Marché Hebdomadaire vendredi de chaque semaine,parking de la salle polyvalente,AMBRONAY,01500,01,parking de la salle polyvalente 01500 AMBRONAY,2026-07-03,2026-07-03,,,,,,,"[46.001319, 5.36053]"
14,Marchés,Marché hebdomadaire VENDREDI MATIN,Place Merlino,FAREINS,01480,01,Place Merlino 01480 FAREINS,2026-07-03,2026-07-03,,,,,,,"[46.019233, 4.760798]"
15,Marchés bio,Marché Bio vendredi de chaque semaine,place du village,AMBERIEU-EN-BUGEY,01500,01,place du village 01500 AMBERIEU-EN-BUGEY,2026-07-03,2026-07-03,,,,,,,"[45.955998, 5.369195]"
16,Vide-greniers,"vide-greniers mensuel, antiquités, collections,bouquins.","chemin de chenouche, monter encore 200 m après l'églised'Izieu au coeur du village",IZIEU,01300,01,"chemin de chenouche, monter encore 200 m après l'églised'Izieu au coeur du village 01300 IZIEU",2026-07-03,2026-07-03,,,,,,,
17,Manifestations Automobiles,Rendez vous belles anciennes,Treffort,TREFFORT-CUISIAT,01370,01,Treffort 01370 TREFFORT-CUISIAT,2026-07-03,2026-07-03,,,,,,,"[46.281648, 5.353673]"
18,Marchés,marché hebdomadaire,Place du Jura Versonnex,VERSONNEX,01210,01,Place du Jura Versonnex 01210 VERSONNEX,2026-07-03,2026-07-03,,,,,,,"[46.301613, 6.095363]"
19,Marchés,Marché alimentaire samedi de chaque semaine,place du Champ de Mars,AMBERIEU-EN-BUGEY,01500,01,place du Champ de Mars 01500 AMBERIEU-EN-BUGEY,2026-07-04,2026-07-04,,,,,,,"[45.958951, 5.357582]"
20,Fêtes locales,vogue,Village MARSONNAS,MARSONNAS,01340,01,Village MARSONNAS 01340 MARSONNAS,2026-07-04,2026-07-04,,,,,,,"[46.330051, 5.073265]"
21,Marchés,Marché du samedi matin,Marché couvert + Champ de Foire 1000 Bourg-en-Bresse,BOURG-EN-BRESSE,01000,01,Marché couvert + Champ de Foire 1000 Bourg-en-Bresse 01000 BOURG-EN-BRESSE,2026-07-04,2026-07-04,,,,,,,"[46.207013, 5.229934]"
22,Marchés,Foire & marchés de Belley,"centre-ville, 01300 Belley, Ain, Auvergne-Rhône-Alpes",BELLEY,01300,01,"centre-ville, 01300 Belley, Ain, Auvergne-Rhône-Alpes 01300 BELLEY",2026-07-04,2026-07-04,,,,,,,"[45.763044, 5.688312]"
