theme,nom_event,adresse,ville,cp,dep,date_d,date_f,site_web,adresse_complete
Marchés,Marché tous les jeudis matins,place Carnot,BELLEGARDE-SUR-VALSERINE,01200,01,02 July 2026,,,place Carnot 01200 BELLEGARDE-SUR-VALSERINE
Marchés,Marché hebdomadaire,Marché hebdomadaire Place de la mairie place et préau à côté de la salle des fêtes (derrière l'Eglise) 1480 Villeneuve,VILLENEUVE,01480,01,02 July 2026,,,Marché hebdomadaire Place de la mairie place et préau à côté de la salle des fêtes (derrière l'Eglise) 1480 Villeneuve 01480 VILLENEUVE
Marchés,Marché mixte,place du Marché,VONNAS,01540,01,02 July 2026,,,place du Marché 01540 VONNAS
Marchés,Marché alimentaire vendredi de chaque semaine,"quartier gare, devant la gare sncf",AMBERIEU-EN-BUGEY,01500,01,03 July 2026,,,"quartier gare, devant la gare sncf 01500 AMBERIEU-EN-BUGEY"
Marchés bio,Marché Bio vendredi de chaque semaine,place du village,AMBERIEU-EN-BUGEY,01500,01,03 July 2026,,,place du village 01500 AMBERIEU-EN-BUGEY
Marchés,Marché Hebdomadaire vendredi de chaque semaine,parking de la salle polyvalente,AMBRONAY,01500,01,03 July 2026,,,parking de la salle polyvalente 01500 AMBRONAY
Marchés,Marché Hebdomadaire vendredi de chaque semaine,place de la Mairie,ARBENT,01100,01,03 July 2026,,,place de la Mairie 01100 ARBENT
Marchés de Producteurs,MARCHÉ MESSIMY SUR SAÔNE,Sous la Halle 01480 Messimy sur Saône,MESSIMY-SUR-SAONE,01480,01,02 July 2026,,,Sous la Halle 01480 Messimy sur Saône 01480 MESSIMY-SUR-SAONE
Marchés,marché hebdomadaire,place du marché à Miribel,MIRIBEL,01700,01,02 July 2026,,,place du marché à Miribel 01700 MIRIBEL
Brocantes,"Brocante, antiquité, collection, foire au livre, cd et vinyle","Espace Perdtemps (vers l'église, derrière la poste)",DIVONNE-LES-BAINS,01220,01,02 July 2026,,,"Espace Perdtemps (vers l'église, derrière la poste) 01220 DIVONNE-LES-BAINS"
Marchés,Le marché du dimanche,,MONTMERLE-SUR-SAONE -,01090,01,02 July 2026,,, 01090 MONTMERLE-SUR-SAONE -
Marchés,Le marché de Sainte -Croix,"sous la halle 01120 Sainte-Croix, Ain, Auvergne-Rhône-Alpes",SAINTE-CROIX,01120,01,02 July 2026,,,"sous la halle 01120 Sainte-Croix, Ain, Auvergne-Rhône-Alpes 01120 SAINTE-CROIX"
Manifestations Automobiles,RV Mensuel autos anciennes BRENS,Parking du Café de Brens 01300,BRENS,01300,01,02 July 2026,,,Parking du Café de Brens 01300 01300 BRENS
Manifestations Automobiles,Rendez vous belles anciennes,Treffort,TREFFORT-CUISIAT,01370,01,03 July 2026,,,Treffort 01370 TREFFORT-CUISIAT
Brocantes,Marché aux livres – CD – DVD – BD – Revues,Place Carriat,BOURG-EN-BRESSE,01000,01,02 July 2026,,,Place Carriat 01000 BOURG-EN-BRESSE
Marchés,Marché jeudi matin,,OYONNAX -,01100,01,02 July 2026,,, 01100 OYONNAX -
Marchés,Marché Hebdomadaire jeudi de chaque semaine,place Brillat Savarin,CHAMPAGNE-EN-VALROMEY,01260,01,02 July 2026,,,place Brillat Savarin 01260 CHAMPAGNE-EN-VALROMEY
Marchés,Marché Hebdomadaire vendredi de chaque semaine,place Freihalden,ARS-SUR-FORMANS,01480,01,03 July 2026,,,place Freihalden 01480 ARS-SUR-FORMANS
Marchés,Marché tous les vendredis matins,place de la Stèle,ARTEMARE,01510,01,03 July 2026,,,place de la Stèle 01510 ARTEMARE
Bourses,Bourse numismatique et cartophile,Salle de l'Harmonie 31 route de Vouvray Bellegarde-sur-Valserine,BELLEGARDE-SUR-VALSERINE,01200,01,03 July 2026,,,Salle de l'Harmonie 31 route de Vouvray Bellegarde-sur-Valserine 01200 BELLEGARDE-SUR-VALSERINE
Marchés,Corveissiat fait son marché,Place Charles Blétel,CORVEISSIAT,01250,01,03 July 2026,,,Place Charles Blétel 01250 CORVEISSIAT
Marchés,Marché hebdomadaire vendredi,centre,CHALAMONT,01320,01,03 July 2026,,,centre 01320 CHALAMONT
Marchés,Marché Hebdomadaire vendredi de chaque semaine,place Allombert,CERDON,01450,01,03 July 2026,,,place Allombert 01450 CERDON
Marchés de créateurs,Marché de la création,Allée de la Passerelle,TREVOUX,01600,01,03 July 2026,,,Allée de la Passerelle 01600 TREVOUX
Marchés,Marché hebdomadaire,,CESSY -,01170,01,03 July 2026,,, 01170 CESSY -
Brocantes,Broc'en Bresse,Halle du champ de foire,BOURG-EN-BRESSE,01000,01,03 July 2026,,,Halle du champ de foire 01000 BOURG-EN-BRESSE
Marchés de Producteurs,Marché de producteurs du vendredi,"Parking du Mas Roux 40 Rue du Midi, 01700 Beynost",BEYNOST,01700,01,03 July 2026,,,"Parking du Mas Roux 40 Rue du Midi, 01700 Beynost 01700 BEYNOST"
Vide-greniers,"vide-greniers mensuel, antiquités, collections,bouquins.","chemin de chenouche, monter encore 200 m après l'églised'Izieu au coeur du village",IZIEU,01300,01,03 July 2026,,,"chemin de chenouche, monter encore 200 m après l'églised'Izieu au coeur du village 01300 IZIEU"
Marchés,Marché,Esplanade de la Mairie 01120 Dagneux,DAGNEUX,01120,01,03 July 2026,,,Esplanade de la Mairie 01120 Dagneux 01120 DAGNEUX
Marchés,Marché hebdomadaire VENDREDI MATIN,Place Merlino,FAREINS,01480,01,03 July 2026,,,Place Merlino 01480 FAREINS
Marchés,Marché alimentaire samedi de chaque semaine,place du Champ de Mars,AMBERIEU-EN-BUGEY,01500,01,04 July 2026,,,place du Champ de Mars 01500 AMBERIEU-EN-BUGEY
Fêtes locales,vogue,Village MARSONNAS,MARSONNAS,01340,01,04 July 2026,,,Village MARSONNAS 01340 MARSONNAS
Marchés,marché hebdomadaire,Place du Jura Versonnex,VERSONNEX,01210,01,03 July 2026,,,Place du Jura Versonnex 01210 VERSONNEX
Marchés,Déballage les vendredis matin,place de la Liberté,LAGNIEU,01150,01,03 July 2026,,,place de la Liberté 01150 LAGNIEU
Marchés,Foire & marchés de Belley,"centre-ville, 01300 Belley, Ain, Auvergne-Rhône-Alpes",BELLEY,01300,01,04 July 2026,,,"centre-ville, 01300 Belley, Ain, Auvergne-Rhône-Alpes 01300 BELLEY"
Fêtes locales,Fête du village,Centre village route des burgondes/stade de foot 01410 Champfromier,CHAMPFROMIER,01410,01,04 July 2026,,,Centre village route des burgondes/stade de foot 01410 Champfromier 01410 CHAMPFROMIER
Brocantes,BROC'ATTRAPE-TOUT Samedi,QUARTIER DE LA BAUDINIERE SAINT BENOIT,SAINT-BENOIT,01300,01,04 July 2026,,,QUARTIER DE LA BAUDINIERE SAINT BENOIT 01300 SAINT-BENOIT
Marchés,Marché Hebdomadaire samedi de chaque semaine,Place du village – route de Lyon,CIVRIEUX,01390,01,04 July 2026,,,Place du village – route de Lyon 01390 CIVRIEUX
Marchés,Marché Hebdomadaire,Place des halles,CHATILLON-SUR-CHALARONNE,01400,01,04 July 2026,,,Place des halles 01400 CHATILLON-SUR-CHALARONNE
