key,cp,ville,lat,lon
33740_ARES,33740,ARES,44.768128,-1.132387
33980_AUDENGE,33980,AUDENGE,44.6981,-0.96155
33430_BAZAS,33430,BAZAS,44.437496,-0.217433
33800_BORDEAUX,33800,BORDEAUX,44.851895,-0.587877
33710_BOURG,33710,BOURG,45.047388,-0.551501
33450_SAINT-LOUBES,33450,SAINT-LOUBES,44.922032,-0.430094
33160_SAINT-MEDARD-EN-JALLES,33160,SAINT-MEDARD-EN-JALLES,44.891628,-0.761713
33340_LESPARRE-MEDOC,33340,LESPARRE-MEDOC,45.293097,-0.925815
33600_PESSAC,33600,PESSAC,44.787469,-0.675933
33540_SAUVETERRE-DE-GUYENNE,33540,SAUVETERRE-DE-GUYENNE,44.694921,-0.08149
33120_ARCACHON,33120,ARCACHON,44.651462,-1.173981
33130_BEGLES,33130,BEGLES,44.802062,-0.551187
33540_BLASIMON,33540,BLASIMON,44.753674,-0.092109
33800_BORDEAUX -,33800,BORDEAUX -,44.851895,-0.587877
33390_BLAYE,33390,BLAYE,45.127019,-0.655446
33190_CASSEUIL,33190,CASSEUIL,44.593602,-0.111615
33520_BRUGES,33520,BRUGES,44.881406,-0.60324
33270_FLOIRAC,33270,FLOIRAC,44.832452,-0.521121
33470_GUJAN-MESTRAS,33470,GUJAN-MESTRAS,44.618065,-1.076924
33580_MONSEGUR,33580,MONSEGUR,44.64834,0.081853
33140_VILLENAVE-D'ORNON,33140,VILLENAVE-D'ORNON,44.77508,-0.55453
33240_GAURIAGUET -,33240,GAURIAGUET -,45.046752,-0.394837
33420_RAUZAN,33420,RAUZAN,44.785262,-0.132483
33460_LABARDE,33460,LABARDE,45.015072,-0.638622
33730_VILLANDRAUT,33730,VILLANDRAUT,44.451932,-0.381864
33570_LUSSAC,33570,LUSSAC,44.96911,-0.090454
33510_ANDERNOS-LES-BAINS,33510,ANDERNOS-LES-BAINS,44.751412,-1.083375
33270_BOULIAC,33270,BOULIAC,44.81558,-0.499538
33320_EYSINES,33320,EYSINES,44.877199,-0.646018
33170_GRADIGNAN,33170,GRADIGNAN,44.7691,-0.616651
33310_LORMONT,33310,LORMONT,44.875952,-0.516136
33480_LISTRAC-MEDOC,33480,LISTRAC-MEDOC,45.074557,-0.817634
33460_MACAU,33460,MACAU,44.99743,-0.611365
33290_PAREMPUYRE,33290,PAREMPUYRE,44.952292,-0.589072
33670_SADIRAC,33670,SADIRAC,44.783436,-0.395149
33160_SAINT-AUBIN-DE-MEDOC,33160,SAINT-AUBIN-DE-MEDOC,44.924189,-0.737172
33220_SAINTE-FOY-LA-GRANDE,33220,SAINTE-FOY-LA-GRANDE,44.840339,0.217463
33112_SAINT-LAURENT-MEDOC,33112,SAINT-LAURENT-MEDOC,45.130896,-0.856936
33230_SAINT-MEDARD-DE-GUIZIERES,33230,SAINT-MEDARD-DE-GUIZIERES,45.009956,-0.062698
33480_AVENSAN,33480,AVENSAN,44.99629,-0.769636
33290_BLANQUEFORT,33290,BLANQUEFORT,44.921969,-0.614877
33650_LA BREDE,33650,LA BREDE,44.678947,-0.526691
33190_LA REOLE,33190,LA REOLE,44.591815,-0.044085
33360_CAMBLANES-ET-MEYNAC,33360,CAMBLANES-ET-MEYNAC,44.764364,-0.473133
33760_LADAUX -,33760,LADAUX -,44.70438,-0.248755
33610_CESTAS,33610,CESTAS,44.737498,-0.705264
33570_MONTAGNE,33570,MONTAGNE,44.932712,-0.13251
33250_PAUILLAC,33250,PAUILLAC,45.195143,-0.769924
33210_PREIGNAC,33210,PREIGNAC,44.569246,-0.308943
33560_SAINTE-EULALIE -,33560,SAINTE-EULALIE -,44.90275,-0.480888
33440_SAINT-VINCENT-DE-PAUL,33440,SAINT-VINCENT-DE-PAUL,44.970971,-0.479847
33600_PESSAC -,33600,PESSAC -,44.787469,-0.675933
33480_SAINTE-HELENE,33480,SAINTE-HELENE,44.974093,-0.920125
33770_SALLES,33770,SALLES,44.547749,-0.849214
33380_BIGANOS,33380,BIGANOS,44.64819,-0.949103
33110_LE BOUSCAT,33110,LE BOUSCAT,44.864761,-0.599933
33140_CADAUJAC,33140,CADAUJAC,44.742434,-0.534845
33410_CADILLAC,33410,CADILLAC,44.638217,-0.30673
33210_LANGON,33210,LANGON,44.535691,-0.241774
33138_LANTON,33138,LANTON,44.724028,-1.024392
