theme,nom_event,adresse,ville,cp,dep,adresse_complete,date_d,date_f,url_event,url_image,age,prix,keyword,desc,coor
marche,Marché hebdomadaire,Parking de la salle polyvalente,Ambérieux-en-Dombes,,1.0,Parking de la salle polyvalente Ambérieux-en-Dombes,2026-01-01,2026-12-31,https://france-evasion-regions.com/auvergne-rhone-alpes/ain/01005/activite/63e697b9-dbf9-3580-be1f-3791892bf241/,,,,,"Le marché d'Ambérieux-en-Dombes propose des légumes, viandes, poissons mais aussi d'autres produits non alimentaire.","[47.268571, 0.470704]"
marche,Marché de producteurs,"1010 route des Sables, Dommartin",Bâgé-Dommartin,,1.0,"1010 route des Sables, Dommartin Bâgé-Dommartin",2026-01-01,2026-12-31,https://france-evasion-regions.com/auvergne-rhone-alpes/ain/01025/activite/5742d7cc-438b-3f53-990a-a1ac93d4db00/,,,,,Fruits et Légumes de nombreux commerçants sans pesticides.,"[46.322392, 4.929516]"
marche,Vente directe à la ferme de Niermont,"L'atelier de Niermont, 1895 route de Niermont",Bâgé-Dommartin,,1.0,"L'atelier de Niermont, 1895 route de Niermont Bâgé-Dommartin",2026-01-01,2026-12-31,https://france-evasion-regions.com/auvergne-rhone-alpes/ain/01025/activite/5d670aa9-7dc8-3447-99ed-74a824cf0b1f/,,,,,"Découvrez notre savoir-faire, à travers nos huiles, farines et spécialités céréalières.","[46.345619, 4.96261]"
marche,Vente directe à la ferme Les jardins d'Aestiv,"Earl Les jardins d'Aestiv, 2225, Route de la Terrasse",Bâgé-Dommartin,,1.0,"Earl Les jardins d'Aestiv, 2225, Route de la Terrasse Bâgé-Dommartin",2026-01-01,2026-12-31,https://france-evasion-regions.com/auvergne-rhone-alpes/ain/01025/activite/a49e268f-cf0c-3788-8af8-39a2df22cf5c/,,,,,"Nous vendons nos produits fermiers bio : 
Farines, Huiles, Légumes secs, Viande bovine, Produits charcutiers, Plats en bocaux & Pâtes fraîches.
Et une sélection gourmande pour compléter notre mini marché :
Pain et pâtisseries, œufs, miels & vinaigres.","[46.301521, 5.006838]"
marche,Marché de producteurs,Place du jeu de l'arc,Bâgé-le-Châtel,,1.0,Place du jeu de l'arc Bâgé-le-Châtel,2026-01-01,2026-12-31,https://france-evasion-regions.com/auvergne-rhone-alpes/ain/01026/activite/d5635b2f-a8c2-377f-a7b0-1a7aafb0e203/,,,,,Des produits de saison de la région et d'ailleurs !,"[46.308552, 4.931456]"
marche,Marché de Balan (le 1er dimanche du mois),Place de la mairie,Balan,,1.0,Place de la mairie Balan,2026-01-01,2026-12-31,https://france-evasion-regions.com/auvergne-rhone-alpes/ain/01027/activite/18d03f5e-df2f-3781-8265-301b59c944fb/,,,,,"Des producteurs régionaux vous attendent place de la mairie. Fruits et légumes, fromage, volailles, biscuits, fleurs...","[49.689335, 4.960052]"
marche,Marché de Bellegarde,"Bellegarde-sur-Valserine, Place Carnot",Valserhône,,1.0,"Bellegarde-sur-Valserine, Place Carnot Valserhône",2026-01-01,2026-12-31,https://france-evasion-regions.com/auvergne-rhone-alpes/ain/01033/activite/a211556a-c52b-35d7-ad8d-63c499ae6d05/,,,,,Marché alimentaire et vestimentaire.,"[46.109437, 5.823939]"
marche,Marché hebdomadaire,"Parking Complexe Mas de Roux, Rue du Midi",Beynost,,1.0,"Parking Complexe Mas de Roux, Rue du Midi Beynost",2026-01-01,2026-12-31,https://france-evasion-regions.com/auvergne-rhone-alpes/ain/01043/activite/34447fcc-0702-3004-9605-1211fe583b4d/,,,,,"Marché hebdomadaire le mercredi matin à Beynost sur le parking du complexe de Mas du Roux. Vous y trouverez:  fruits, légumes, charcuteries, fromages, épicerie italienne, rôtisserie.","[47.257526, -2.333958]"
marche,Marché hebdomadaire,"Rue du midi, Parking Complexe de Mas du Roux",Beynost,,1.0,"Rue du midi, Parking Complexe de Mas du Roux Beynost",2026-01-01,2026-12-31,https://france-evasion-regions.com/auvergne-rhone-alpes/ain/01043/activite/6fd90d99-f666-3261-a3fe-96197dba13f1/,,,,,"Marché hebdomadaire le dimanche matin à Beynost sur le parking du complexe de Mas du Roux, rue du midi.
Fruits et légumes","[47.35471, -2.179289]"
marche,Marché des producteurs hebdomadaire,"Parking du Complexe du Mas de Roux, 40 rue du Midi",Beynost,,1.0,"Parking du Complexe du Mas de Roux, 40 rue du Midi Beynost",2026-01-01,2026-12-31,https://france-evasion-regions.com/auvergne-rhone-alpes/ain/01043/activite/d0ef82fe-aa2a-3f7d-b60c-b2e2e2114d04/,,,,,"La commune de Beynost vous propose son marché des Producteurs et créations gourmandes!.
Fruits, légumes, volailles, œufs, charcuteries, viande, fromages, pain, pâtisseries, huile d'olive, épicerie grecque, traiteur, fleurs vous seront proposés.","[45.838758, 4.999094]"
marche,Marché des Vennes,Rue Montesquieu,Bourg-en-Bresse,,1.0,Rue Montesquieu Bourg-en-Bresse,2026-01-01,2026-12-31,https://france-evasion-regions.com/auvergne-rhone-alpes/ain/01053/activite/29efc7cf-dd58-387b-8c47-d360fb5c9760/,,,,,"Découvrez les charmes locaux au Marché des Vennes à Bourg-en-Bresse! En périphérie de la ville, flânez entre stands de fleurs, vêtements, et produits du terroir. Une expérience pittoresque en plein air vous attend chaque semaine!","[46.188974, 5.227727]"
marche,Marché du mercredi matin,Marché couvert et champ de foire,Bourg-en-Bresse,,1.0,Marché couvert et champ de foire Bourg-en-Bresse,2026-01-01,2026-12-31,https://france-evasion-regions.com/auvergne-rhone-alpes/ain/01053/activite/4da6835a-a438-3449-9add-1a2a90b2dcda/,,,,,"Découvrez le marché du mercredi matin à Bourg-en-Bresse! Un rendez-vous hebdomadaire où gastronomie, textiles, et articles de bazar se rencontrent en plein cœur de la ville. En intérieur ou en plein air, une expérience locale incontournable!","[46.207013, 5.229934]"
marche,Marché du samedi matin,Marché couvert + Champ de Foire,Bourg-en-Bresse,,1.0,Marché couvert + Champ de Foire Bourg-en-Bresse,2026-01-01,2026-12-31,https://france-evasion-regions.com/auvergne-rhone-alpes/ain/01053/activite/b8b7756e-ab94-3610-b46f-35654563265d/,,,,,Uniquement Marché alimentaire.,"[46.207013, 5.229934]"
marche,Marché hebdomadaire,Place du Marché,Chalamont,,1.0,Place du Marché Chalamont,2026-01-01,2026-12-31,https://france-evasion-regions.com/auvergne-rhone-alpes/ain/01074/activite/682bb9e1-dd50-3b4e-9cb8-73b1b2528695/,,,,,La Dombes est riche en marchés où les producteurs locaux offrent des produits uniques et de toute fraîcheur.,"[45.996879, 5.171247]"
marche,Marché régulier,Place des commerces,Chaleins,,1.0,Place des commerces Chaleins,2026-01-01,2026-12-31,https://france-evasion-regions.com/auvergne-rhone-alpes/ain/01075/activite/c317affd-bc9b-38d2-8cce-879d9930c6af/,,,,,Retrouvez ce petit marché chaque dimanche matin!,"[46.028977, 4.80586]"
marche,Marché hebdomadaire,"La Halle (près du stade de football), rue de la mairie",Challex,,1.0,"La Halle (près du stade de football), rue de la mairie Challex",2026-01-01,2026-12-31,https://france-evasion-regions.com/auvergne-rhone-alpes/ain/01078/activite/80008262-10fd-3f10-a2c3-49dd1692faeb/,,,,,"Ventes de produits alimentaires (fromages, viandes, poissons, fruits et légumes, produits grecs,...) et un marchand d'ustensiles de cuisine (poêles, casseroles,...)","[46.181799, 5.972645]"
marche,Marché de Champagne-en-Valromey,Place Brillat Savarin,Champagne-en-Valromey,,1.0,Place Brillat Savarin Champagne-en-Valromey,2026-01-01,2026-12-31,https://france-evasion-regions.com/auvergne-rhone-alpes/ain/01079/activite/b20797ef-e15e-338f-9321-71201b9822e9/,,,,,Marché hebdomadaire de produits locaux à Champagne-en-Valromey.,"[45.904558, 5.678073]"
marche,Marché hebdomadaire,Halles,Châtillon-sur-Chalaronne,,1.0,Halles Châtillon-sur-Chalaronne,2026-01-01,2026-12-31,https://france-evasion-regions.com/auvergne-rhone-alpes/ain/01093/activite/0d2fe85d-832b-3692-87c9-29f837e2164f/,,,,,"Venez découvrir un des plus beaux marchés de la région Rhône-Alpes. Au coeur de la cité médiévale, vous découvrirez les produits du terroir d'ici et d'ailleurs. Volailles vivantes en vente.","[46.118774, 4.957011]"
marche,Marché de producteurs bio,Place des Halles,Châtillon-sur-Chalaronne,,1.0,Place des Halles Châtillon-sur-Chalaronne,2026-01-01,2026-12-31,https://france-evasion-regions.com/auvergne-rhone-alpes/ain/01093/activite/987d5292-e5db-3190-8a98-cd6b5f264df2/,,,,,"Marché de producteurs bio, des fermes du territoire, qui proposent leurs produits fermiers tout les mercredis matins sous les Halles de Chatillon sur Chalaronne.","[46.118774, 4.957011]"
marche,Marché hebdomadaire,Place de la Mairie,Condeissiat,,1.0,Place de la Mairie Condeissiat,2026-01-01,2026-12-31,https://france-evasion-regions.com/auvergne-rhone-alpes/ain/01113/activite/223ca1e9-97b9-36d8-83f7-ac69a5f1de9e/,,,,,"Fruits et légumes frais en provenance directe des producteurs, Produits fermiers : fromages, charcuteries, volailles, œufs plein air","[46.155833, 5.0719]"
marche,Marché de Corveissiat,Place Charles Blétel,Corveissiat,,1.0,Place Charles Blétel Corveissiat,2026-01-01,2026-12-31,https://france-evasion-regions.com/auvergne-rhone-alpes/ain/01125/activite/925c9393-72b0-3c89-849d-f2173a1c3276/,,,,,"Marché exclusivement alimentaire avec des animations régulières.
Tous les vendredis de 16h à 19h","[46.24129, 5.480364]"
marche,Marché de Culoz,"Culoz, Rue de la Mairie",Culoz-Béon,,1.0,"Culoz, Rue de la Mairie Culoz-Béon",2026-01-01,2026-12-31,https://france-evasion-regions.com/auvergne-rhone-alpes/ain/01138/activite/dad96842-d27f-3e23-ad8b-d5e5c739c273/,,,,,"Marché alimentaire. 
En été, le marché est également vestimentaire.","[45.847284, 5.781261]"
marche,Marché de Dagneux (tous les samedis matin),"1102 Rue de Genève, Halle Didier",Dagneux,,1.0,"1102 Rue de Genève, Halle Didier Dagneux",2026-01-01,2026-12-31,https://france-evasion-regions.com/auvergne-rhone-alpes/ain/01142/activite/c7c39152-d753-3ac4-92c5-88b770ccb559/,,,,,"Le marché de la Halle Didier de Dagneux est de retour ! Primeurs, fromager, marchands de vêtements seront présents !
Tous les samedis matin","[45.850928, 5.07385]"
marche,Marché hebdomadaire,Place de l'Europe,Feillens,,1.0,Place de l'Europe Feillens,2026-01-01,2026-12-31,https://france-evasion-regions.com/auvergne-rhone-alpes/ain/01159/activite/91ad0fc0-61f3-38ab-919e-9be4f3b56f9a/,,,,,"Vivants et colorés, découvrez nos marchés emprunts de traditions où vous trouverez volailles de Bresse, fruits et légumes de la région  autres productions locales.","[46.335304, 4.886863]"
marche,Marché hebdomadaire,"Avenue Voltaire et Grand'rue, Centre ville",Ferney-Voltaire,,1.0,"Avenue Voltaire et Grand'rue, Centre ville Ferney-Voltaire",2026-01-01,2026-12-31,https://france-evasion-regions.com/auvergne-rhone-alpes/ain/01160/activite/4fa7d141-8bbd-31a2-b30e-726ac7c62cb8/,,,,,"La ville de Ferney-Voltaire est renommée pour son grand marché hebdomadaire durant lequel près de 200 commerçants accueillent une large population locale et genevoise autour de la mairie, de la Grand'rue et le long de l’avenue Voltaire.","[46.258235, 6.113948]"
marche,Marché du dimanche matin, ,Foissiat,,1.0,  Foissiat,2026-01-01,2026-12-31,https://france-evasion-regions.com/auvergne-rhone-alpes/ain/01163/activite/dccbf5b2-b732-3c70-8c4f-d7af8392e93b/,,,,,Marché alimentaire.,"[46.374117, 5.186293]"
marche,Marché hebdomadaire,rues des Terreaux,Gex,,1.0,rues des Terreaux Gex,2026-01-01,2026-12-31,https://france-evasion-regions.com/auvergne-rhone-alpes/ain/01173/activite/499024ec-bb53-399a-93a8-e1649245a44d/,,,,,Ventes de produits alimentaires.,"[46.332972, 6.058184]"
marche,Petit Marché hebdomadaire, ,Grièges,,1.0,  Grièges,2026-01-01,2026-12-31,https://france-evasion-regions.com/auvergne-rhone-alpes/ain/01179/activite/614de7f9-0674-35c3-9e4a-04aacb0108eb/,,,,,Ventre de produits : Fromage de chèvre - Miel - Oeufs et présence du Camion Pizzeria 4 Saisons,"[46.254769, 4.851265]"
evenement,"Exposition permanente à la Maison d'Izieu : histoire, justice, mémoire","Maison d'Izieu, 70 route de Lambraz",Izieu,,1.0,"Maison d'Izieu, 70 route de Lambraz Izieu",2026-01-01,2026-11-01,https://france-evasion-regions.com/auvergne-rhone-alpes/ain/01193/activite/1bfbc376-d227-3f50-adc9-a2a52e96b7c4/,,,,,"À proximité de la maison, le musée est scindé en trois espaces : histoire, justice et mémoire. Ses nombreux dispositifs numériques permettent d’approfondir l'histoire de la Colonie d'Izieu et le contexte historique de la Seconde Guerre mondiale.","[45.648984, 5.6327]"
evenement,Visites guidées de la Maison d'Izieu,"Maison d'Izieu, 70 route de Lambraz",Izieu,,1.0,"Maison d'Izieu, 70 route de Lambraz Izieu",2026-01-01,2026-11-01,https://france-evasion-regions.com/auvergne-rhone-alpes/ain/01193/activite/9af368d4-271c-3554-bd0c-d24a28bdec9b/,,,,,"La maison rassemble les lettres, dessins et photos, témoins de la vie quotidienne à la Colonie du printemps 1943 à la rafle du 6 avril 1944. Lors de votre visite, vous parcourrez les différentes pièces de la maison guidé par un médiateur.","[45.648984, 5.6327]"
marche,Marché de Jasseron,Place André Gallant,Jasseron,,1.0,Place André Gallant Jasseron,2026-01-01,2026-12-31,https://france-evasion-regions.com/auvergne-rhone-alpes/ain/01195/activite/9043d73f-6257-3795-95bd-6e284cb5305b/,,,,,"Les exposants vous proposent des produits alimentaires de qualité, locaux ainsi que des produits de fabrication artisanale. 
Le marché est un moment d'échange et de convivialité avec tous les habitants.","[46.211817, 5.325397]"
marche,Marché hebdomadaire,Place de l'hötel de ville,Jujurieux,,1.0,Place de l'hötel de ville Jujurieux,2026-01-01,2026-12-31,https://france-evasion-regions.com/auvergne-rhone-alpes/ain/01199/activite/86ee2822-33c8-3791-b2ba-20fa526043dd/,,,,,Marché hebdomadaire avec produits alimentaires,"[46.03887, 5.409814]"
marche,Marché hebdomadaire,Place de la mairie,Lent,,1.0,Place de la mairie Lent,2026-01-01,2026-12-31,https://france-evasion-regions.com/auvergne-rhone-alpes/ain/01211/activite/b7a4f80c-0ef7-305a-b5a6-c30bdd9ef6e0/,,,,,"Petit Marché de producteurs, revendeurs en alimentaire.","[46.120353, 5.195357]"
marche,Marché hebdomadaire, ,Manziat,,1.0,  Manziat,2026-01-01,2026-12-31,https://france-evasion-regions.com/auvergne-rhone-alpes/ain/01231/activite/c76d38c7-9a7d-3f1d-be11-832431a297cb/,,,,,"Vivants et colorés, découvrez nos marchés emprunts de traditions où vous trouverez volailles de Bresse, fruits et légumes de la région et autres productions locales.","[46.360125, 4.904967]"
