,name,href,adresse,latitude,longitude
0,Ange Michel,https://www.parcs-france.com/parc-ange-michel/,Parc d’Attractions et de Loisirs ANGE MICHEL 50730 Saint Martin de Landelles,48.56865067494,-1.20228275582
1,Bagatelle,https://www.parcs-france.com/parc-bagatelle/,RD 940 62155 Merlimont,50.430636,1.605915
2,Cobac ParcIlle et VilaineBretagne,,,,
3,Dennlys Parc,https://www.parcs-france.com/dennlys-parc/,11 Rue du Moulin de la Tour 62560 Dennebrœucq,50.572079,2.152129
4,Didi'LandBas RhinGrand Est,,,,
5,Disneyland Paris,https://www.parcs-france.com/disneyland-paris/,Boulevard du Parc 77700 Serris/Coupvray,48.876077,2.79646
6,Family Park,https://www.parcs-france.com/family-park/,Le Petit Nétilly 37250 SORIGNY,47.25814498042,0.66933588699
7,FestylandCalvadosNormandie,,,,
8,Fraispertuis City,https://www.parcs-france.com/fraispertuis-city/,50 rue de la colline des eaux 88700 Jeanménil,48.32494,6.726357
9,Futuroscope,https://www.parcs-france.com/futuroscope/,Avenue René Monory 86360 Chasseneuil-du-Poitou,46.66332,0.361748
10,Jardin d'Acclimatation,https://www.parcs-france.com/jardindacclimatation-paris/,Bois de Boulogne 75116 Paris,48.877571,2.269944
11,Kingoland,https://www.parcs-france.com/kingoland/,Pondigo – 56500 Plumelin,47.88935083,-2.89378737
12,La Mer de Sable,https://www.parcs-france.com/mer-de-sable/,N330 – 60950 Ermenonville,49.14634,2.678949
13,La Récré des 3 Curés,https://www.parcs-france.com/larecredes3cures/,Les Trois Curés 29290 Milizac,48.475131,-4.526596
14,Le PAL,https://www.parcs-france.com/le-pal/,Saint-Pourçain-sur-Besbre CS 60001 03290 Dompierre-sur-Besbre,46.507687,3.622275
15,Le Puy du Fou,https://www.parcs-france.com/puy-du-fou/,Puy du Fou CS70025 85590 Les Epesses,,
16,Magic Park LandBouches du RhônePACA,,,,
17,Nigloland,https://www.parcs-france.com/nigloland/,D619 – Rue de la Vallée du Landion – 10200 Dolancourt,48.261866,4.610544
18,OK Corral,https://www.parcs-france.com/ok-corral/,D8n 13780 Cuges-les-Pins,43.267338,5.727565
19,Papéa Parc,https://www.parcs-france.com/papea-parc/,Lieu-dit Neptune 72530 Yvré-l’Évêque,48.0021371,0.250825
20,Parc Astérix,https://www.parcs-france.com/parc-asterix/,BP8 – 60128 Plailly,49.135143,2.565823
21,Parc des Combes,https://www.parcs-france.com/parc-des-combes/,rue des Pyrénées 71200 Le Creusot,46.811993,4.413592
22,Parc du BocasseSeine MaritimeNormandie,,,,
23,Parc du Petit Prince,https://www.parcs-france.com/parcdupetitprince/,rue de l’Espoir 68190 Ungersheim,47.86300745,7.2961802
24,Parc Le FleuryNordHauts de France,,,,
25,Parc Les NaudièresLoire AtlantiquePays de la Loire,,,,
26,Parc Saint Paul,https://www.parcs-france.com/parc-saint-paul/,RD931 60650 Saint-Paul,49.421169,1.982646
27,Parc Spirou,https://www.parcs-france.com/parc-spirou/,1 rue Jean-Henri Fabre 84170 Monteux,44.0195121,4.9619912
28,TouroparcSaône et LoireBourgogne Franche Comté,,,,
29,Vulcania,https://www.parcs-france.com/vulcania/,2 Route de Mazayes 63230 Saint Ours les Roches,45.813872,2.95247
30,Walibi Rhône-Alpes,https://www.parcs-france.com/walibi-rhone-alpes/,1380 route de la Corneille 38630 Les Avenières-Veyrins-Thuellin,45.619205,5.570697
31,Walygator Grand Est,https://www.parcs-france.com/walygator/,Voie Romaine 57280 Maizières-lès-Metz,49.225028,6.155297
32,Walygator Sud Ouest,https://www.parcs-france.com/walygator-sud-ouest-agen/,<strong>Ouest</strong>,44.186221,0.579282
