,nom,url,adresse,latitude,longitude
4,Agen,https://www.parcs-aquatiques.com/aqualand-agen/,Château de Caudouin 47310 Roquefort,44.186173,0.579221
5,Bassin d’Arcachon,https://www.parcs-aquatiques.com/aqualand-bassin-arcachon/,route des lacs 33470 Gujan-Mestras,,
6,Cap d’Agde,https://www.parcs-aquatiques.com/aqualand-capdagde/,2 avenue des Iles d’Amérique 34300 Le Cap d’Agde,43.280843,3.494517
7,Fréjus,https://www.parcs-aquatiques.com/aqualand-frejus/,Quartier le Capou D559 83600 Fréjus,43.419434,6.728501
8,Port Leucate,https://www.parcs-aquatiques.com/aqualand-port-leucate/,avenue du Roussillon 11370 Port Leucate,42.842203,3.042208
9,Saint Cyprien,https://www.parcs-aquatiques.com/aqualand-saint-cyprien/,avenue des Champs de Neptune 66750 Saint Cyprien,42.60121,3.032193
10,Saint Cyr sur Mer,https://www.parcs-aquatiques.com/aqualand-saint-cyr-sur-mer/,ZAC des Pradeaux 83270 Saint-Cyr-sur-Mer,43.184257,5.692833
11,Sainte Maxime,https://www.parcs-aquatiques.com/aqualand-sainte-maxime/,Avenue Gaston Rebuffat 83120 Sainte Maxime,43.327553,6.619147
12,Aquasplash,https://www.parcs-aquatiques.com/aquasplash-antibes/,306 avenue Mozart 06600 Antibes,43.614914,7.120413
13,Aquascope,https://www.parcs-aquatiques.com/aquascope-futuroscope/,Avenue René Monory 86360 Chasseneuil-du-Poitou,46.66332,0.361748
14,Aquaboulevard,https://www.parcs-aquatiques.com/aquaboulevard-paris/,4-6 rue Louis Armand 75015 Paris,48.833049,2.277545
15,Aqua Béarnà Oloron Sainte Marie,https://www.parcs-aquatiques.com/aqua-bearn-oloron-sainte-marie/,Le Faget de Goès 64400 Goès,,
16,Aquaboulevardà Paris,https://www.parcs-aquatiques.com/aquaboulevard-paris/,4-6 rue Louis Armand 75015 Paris,48.833049,2.277545
17,Aqua’Fun Park – Cobac Parcà Lanhélin,https://www.parcs-aquatiques.com/aquafun-park-cobac-parc/,route D75 35620 Lanhélin,,
18,Aquajetà Narbonne Plage,https://www.parcs-aquatiques.com/aquajet-narbonne-plage/,route de Gruissan 11100 Narbonne Plage,43.147748,3.1531896
19,Aqualand Agen– Walygator Sud Ouest,https://www.parcs-aquatiques.com/aqualand-agen/,Château de Caudouin 47310 Roquefort,44.186173,0.579221
20,Aqualand Bassin d’Arcachon,https://www.parcs-aquatiques.com/aqualand-bassin-arcachon/,route des lacs 33470 Gujan-Mestras,,
21,Aqualand Fréjus,https://www.parcs-aquatiques.com/aqualand-frejus/,Quartier le Capou D559 83600 Fréjus,43.419434,6.728501
22,Aqualand Le Cap d’Agde,https://www.parcs-aquatiques.com/aqualand-capdagde/,2 avenue des Iles d’Amérique 34300 Le Cap d’Agde,43.280843,3.494517
23,Aqualand Port Leucate,https://www.parcs-aquatiques.com/aqualand-port-leucate/,avenue du Roussillon 11370 Port Leucate,42.842203,3.042208
24,Aqualand Saint Cyprien,https://www.parcs-aquatiques.com/aqualand-saint-cyprien/,avenue des Champs de Neptune 66750 Saint Cyprien,42.60121,3.032193
25,Aqualand Saint Cyr sur Mer,https://www.parcs-aquatiques.com/aqualand-saint-cyr-sur-mer/,ZAC des Pradeaux 83270 Saint-Cyr-sur-Mer,43.184257,5.692833
26,Aqualand Sainte Maxime,https://www.parcs-aquatiques.com/aqualand-sainte-maxime/,Avenue Gaston Rebuffat 83120 Sainte Maxime,43.327553,6.619147
27,Aquaparc Isisà Dole,https://www.parcs-aquatiques.com/aquaparc-isis-dole/,Allée des Prés Buffard 39100 Dole,47.07327532,5.4867498
28,Aquascope Futuroscope,https://www.parcs-aquatiques.com/aquascope-futuroscope/,Avenue René Monory 86360 Chasseneuil-du-Poitou,46.66332,0.361748
29,Aquasplashà Antibes,https://www.parcs-aquatiques.com/aquasplash-antibes/,306 avenue Mozart 06600 Antibes,43.614914,7.120413
30,Aquatic Landesà Labenne-Océan,https://www.parcs-aquatiques.com/aquatic-landes-labenne-ocean/,route de la Plage 40530 Labenne-Océan,,
31,Atlantic Parkà Seignosse Océan,https://www.parcs-aquatiques.com/atlantic-park-seignosse/,2 avenue de la Grande Plage 40510 Seignosse,,
32,Atlantic Tobogganà Saint-Hilaire-de-Riez,https://www.parcs-aquatiques.com/atlantic-toboggan-saint-hilaire-de-riez/,42 Avenue des Becs 85270 Saint-Hilaire-de-Riez,46.76421,2.03161
33,Espace Grand Bleuà La Grande Motte,https://www.parcs-aquatiques.com/espace-grand-bleu-la-grande-motte/,195 rue Saint-Louis 34280 La Grande Motte,43.5625527,4.098635
34,Iléosur l’île d’Oléron,https://www.parcs-aquatiques.com/ileo-dolus-oleron/,"Iléo, route du Stade 17550 Dolus-d’Oléron",,
35,Ludolacà Vesoul,https://www.parcs-aquatiques.com/ludolac-vesoul/,avenue des Rives du Lac 70000 Vesoul-Vaivre,47.6293319,6.1241132
36,Nyonsoleïadoà Nyons,https://www.parcs-aquatiques.com/nyonsoleiado/,76 Promenade de la Digue 26110 Nyons,,
37,O’Gliss Parken Vendée,https://www.parcs-aquatiques.com/ogliss-park-vendee/,le Pont Rouge 85560 Le Bernard,46.455477,1.417809
38,Parc de la Bouscarasseà Serviers-et-Labaume,https://www.parcs-aquatiques.com/parc-bouscarasse-serviers/,D981 route d’Alès 30700 Serviers-et-Labaume,44.03756192,4.32630151
39,Pirates WorldCap d’Agde,https://www.parcs-aquatiques.com/baie-des-pirates-capdagde/,Chemin des dunes 34300 Le Cap d’Agde,43.2828843,3.4737217
40,Quercylandà Souillac,https://www.parcs-aquatiques.com/quercyland-souillac/,Les Ondines 46200 Souillac,,
41,Vitam à Neydens,https://www.parcs-aquatiques.com/vitam/,500 route des Envignes 74160 Neydens,46.122615,6.095456
42,Wave Islandà Monteux,https://www.parcs-aquatiques.com/splashworld-provence/,800 Allée de Beaulieu 84170 Monteux,44.021004,4.967534
43,Western Parkà Biguglia,https://www.parcs-aquatiques.com/western-splash-biguglia/,Chemin de Zucculana 20620 Biguglia,42.628914,9.444885
44,• Aquascope Futuroscope,https://www.parcs-aquatiques.com/aquascope-futuroscope/,Avenue René Monory 86360 Chasseneuil-du-Poitou,46.66332,0.361748
45,• Aquaboulevard Paris,https://www.parcs-aquatiques.com/aquaboulevard-paris/,4-6 rue Louis Armand 75015 Paris,48.833049,2.277545
46,• Plopsaqua,https://www.parcs-aquatiques.com/plopsaqua-lapanne/,De Pannelaan 68 B-8660 De Panne (Belgique),51.081758,2.601974
