,theme,nom_event,adresse,ville,cp,dep,adresse_complete,date_d,date_f,url_event,url_image,age,prix,keyword,desc,coor
0,,A la découverte du cheval à travers le travail à pied chez Zeugma Equitation,"29 rue des Marronnier, MOULIN EN BESSIN",14480,14480.0,14,"29 rue des Marronnier, MOULIN EN BESSIN 14480 14480",2026-10-17,2026-10-21,,https://cdn.openagenda.com/main/f366e259e6fa4bba93253608857c8127.base.image.jpg,,,"['Découverte', 'Équitation', 'Ethologie', 'Cheval', 'Equicoaching', 'Médiation équine']",L’école d’équitation Zeugma vous ouvre ses portes le samedi 17 octobre et le mercredi 21 octobre pour une découverte du cheval à travers le travail à pied.,"[49.247819, -0.566427]"
1,,Portage de documents à domicile,,52220,52220.0,52, 52220 52220,2026-07-02,2026-07-02,,https://cdn.openagenda.com/main/a267bf7f5e7f40afb7335aeb8594eb88.base.image.jpg,,,['service'],La médiathèque vient chez vous !,"[48.466007, 4.768667]"
2,,Portage de documents à domicile,,52220,52220.0,52, 52220 52220,2026-08-06,2026-08-06,,https://cdn.openagenda.com/main/8f7d65bd72d346b5a8097e4bef553b3c.base.image.jpg,,,['service'],La médiathèque vient chez vous !,"[48.466007, 4.768667]"
3,Bals Danses,Séjour Danse,Aast(64),AAST,64460.0,64,Aast(64) 64460 AAST,2026-07-03,2026-07-08,,,,,,,"[43.289024, -0.087034]"
4,Visites et sorties à thèmes,LOISIRS A L'AIR LIBRE - LE COIN DES TOUT-PETITS,  Parvis de la salle Robert Bommé 9 Rue de la Mairie  ,ABBARETZ,44170.0,44,  Parvis de la salle Robert Bommé 9 Rue de la Mairie   ABBARETZ,2026-07-21,2026-07-21,,,,,,,"[47.5539383, -1.5325934]"
5,Marchés de Producteurs,Au Marché,rue de Bellevue,ABBARETZ,44170.0,44,rue de Bellevue 44170 ABBARETZ,2026-07-07,2026-07-07,,,,,,,"[47.551783, -1.538396]"
6,marche,Marché des halles - samedi - Abbeville,Place Jacques Becq,Abbeville,,80,Place Jacques Becq Abbeville,2025-04-09,2026-12-31,https://france-evasion-regions.com/hauts-de-france/somme/80001/activite/ffd53ae1-edc8-3ed4-bb03-ac50a1e8ddcc/,,,,,"Les halles d'Abbeville accueillent des producteurs locaux (légumes, viandes, pain, fleurs...) tous les samedis matin. Venez faire le plein de produits frais et locaux.","[50.104481, 1.834002]"
7,brocante,Les planches ornithologiques de Reichenbach,Place Max Lejeune,Abbeville,,80.0,Place Max Lejeune Abbeville,2026-04-14,2026-08-16,https://france-evasion-regions.com/hauts-de-france/somme/80001/activite/52f768f1-b634-3629-b106-2e1dd6d7904b/,,,,,"Le botaniste et zoologiste allemand Heinrich Gottlieb Ludwig Reichenbach (1793-1879) dirigea le Muséum royal d'histoire naturelle de Zwinger et fonda le jardin botanique de Dresde. Connu pour ses travaux sur la flore et la faune, il laissa plus de six mille dessins, la plupart réalisés de sa main.
La Bibliothèque patrimoniale a la chance de conserver certaines de ses publications qui comportent de magnifiques planches ornithologiques aquarellées, rehaussées de gomme arabique : pigeons, colibr…","[50.105968, 1.833641]"
8,animation,Kamil Bousselham,6 avenue du port,Abbeville,,80.0,6 avenue du port Abbeville,2026-07-01,2026-07-01,https://france-evasion-regions.com/hauts-de-france/somme/80001/activite/0b503cf2-b9db-3123-b0a5-6b7329545896/,,,,,"Et les professeurs du Conservatoire de la Baie de Somme.

Le conservatoire est une structure pédagogique qui accueille des artistes en résidence, c’est pour cette raison que nous allons pérenniser l’aventure avec Kamil BOUSSELHAM en proposant cette création originale entre cet immense danseur de break dance et les professeurs du conservatoire de la Baie de Somme. Ces musiciens de renom et ce très grand danseur seront donc au rendez-vous pour vous faire découvrir et vivre un moment d’écriture …","[50.112809, 1.824765]"
9,marche,Marchés nocturnes et concerts,Place Max Lejeune,Abbeville,,80.0,Place Max Lejeune Abbeville,2026-07-03,2026-07-03,https://france-evasion-regions.com/hauts-de-france/somme/80001/activite/01dcec4b-269f-305d-8831-f98c829c79ba/,,,,,"Cet été, les marchés nocturnes s’invitent sous les étoiles pour des soirées conviviales. Une cinquantaine d’exposants proposent produits locaux, créations artisanales et spécialités estivales. Chaque marché est rythmé par deux concerts et un manège gratuit accueille les enfants, offrant à tous une parenthèse gourmande, musicale et familiale au cœur des nuits d’été.","[50.105968, 1.833641]"
10,brocante,"Nicolas Krief, photographe – La vie rocambolesque des musées",36 Rue des Capucins,Abbeville,,80.0,36 Rue des Capucins Abbeville,2026-07-07,2026-09-20,https://france-evasion-regions.com/hauts-de-france/somme/80001/activite/7a7b024e-caf9-3cfa-9884-31f7c55b0385/,,,,,"Nicolas Krief, né en 1967, est historien de formation. Mais c’est le métier de photographe qui a retenu son attention. Il a réalisé plusieurs séries d’images, souvent pleines d’humour, prises sur le vif et sans trucage dans les musées, révélant notamment les coulisses des montages d’expositions.","[50.108787, 1.832466]"
11,sport,Visite guidée : l’éco-pâturage ? Mais à quoi ça sert ?,70 Boulevard de la République,Abbeville,,80.0,70 Boulevard de la République Abbeville,2026-07-08,2026-07-08,https://france-evasion-regions.com/hauts-de-france/somme/80001/activite/3e8f0d99-44a5-3792-94ab-ffa5b7f81c2f/,,,,,"Un éco-pâturage ? Une nouvelle idée à la mode ou une vieille tradition remise au goût du jour ? Je vous propose de m’accompagner pour découvrir cette méthode de gestion, et surtout les animaux présents au Parc.","[50.112197, 1.833392]"
12,concert,Fête nationale à Abbeville, ,Abbeville,,80.0,  Abbeville,2026-07-13,2026-07-14,https://france-evasion-regions.com/hauts-de-france/somme/80001/activite/a01689e1-b4e7-322a-9caf-65c7176f490d/,,,,,"Dès le 13 juillet, le parc d’Émonville devient le cœur des animations et concerts. À la tombée de la nuit, le cortège aux lampions illumine la ville jusqu’à la place de la Marne, avant le traditionnel feu d’artifice au Carré de Six suivi d’un concert. Le 14 juillet, place aux commémorations patriotiques et au défilé des forces de sécurité. Le midi, c’est un repas animé par Arnaud Guimard qui attend les aînés. La guinguette de Michel Pruvot dans les jardins du Carmel vient clore ces deux jours…","[50.105799, 1.828902]"
13,animation,Guinguettes,36 rue des capucins,Abbeville,,80.0,36 rue des capucins Abbeville,2026-07-16,2026-07-16,https://france-evasion-regions.com/hauts-de-france/somme/80001/activite/6767840c-2301-3ab9-b7c6-63acf4521dad/,,,,,"Chaque jeudi de l’été, à partir de 15h, laissezvous emporter par les Guinguettes. Concerts en plein air, airs populaires et doux accords d’accordéon invitent à chanter, danser et valser. Entre amis ou en famille, savourez ces instants suspendus où la musique rythme l’après-midi et où le charme d’un moment hors du temps s’invite au cœur du cadre bucolique du Carmel.","[50.108787, 1.832466]"
14,sport,Découverte des papillons du parc de la Bouvaque,69 rue basse de la Bouvaque,Abbeville,,80.0,69 rue basse de la Bouvaque Abbeville,2026-08-07,2026-08-07,https://france-evasion-regions.com/hauts-de-france/somme/80001/activite/b519bbf3-f5bd-331d-afc5-8d5a5322d283/,,,,,"Et si on allait à la chasse au papillon ? Lors de cette animation nous partirons, ensemble pour découvrir le monde surprenant des papillons de jours.

Réservation obligatoire","[50.11866, 1.84871]"
15,sport,Les nuit de la chauve souris,6 rue des capucins,Abbeville,,80.0,6 rue des capucins Abbeville,2026-08-22,2026-08-22,https://france-evasion-regions.com/hauts-de-france/somme/80001/activite/2dd0a2e6-a4fb-34bd-9c92-53a88b9d49bf/,,,,,"Entrez dans l’univers fascinant des chauves-souris, partez à la découverte des méthodes utilisées pour les étudier. À la nuit tombée, apprenez comment les scientifiques les suivent et identifient leurs espèces. Découvrez le mode de vie des espèces présentes sur le territoire picard. Vous en apprendrez davantage sur les menaces que ces animaux nocturnes rencontrent ainsi que les actions à mener en leur faveur.","[50.108737, 1.834266]"
