,theme,nom_event,adresse,ville,cp,dep,date_d,date_f,site_web
0,Marchés,MARCHÉ MARDI,Place Weiss 33740 ARES,ARES,33740,33,23 June 2026,,
1,Marchés,MARCHÉ MUNICIPAL,halle du marché et sur l’avenue du Général de Gaulle. 33980 AUDENGE,AUDENGE,33980,33,23 June 2026,,
2,Fêtes locales,Fêtes de la Saint Jean à Bazas,Place de la Cathédrale 33430 BAZAS,BAZAS,33430,33,23 June 2026,,
3,Marchés aux puces,Les Puces Saint Michel du mardi,Place saint Michel,BORDEAUX,33800,33,23 June 2026,,
4,Lotos Quines et Rifles,Méga Loto du mardi,17 rue Edgard faure ESPACE DS BORDEAUX LAC Bordeaux - 33000,BORDEAUX,33800,33,23 June 2026,,
5,Concerts,Portrait Sofia Avramidou,"Grand-Théâtre, Salon Boireau Place de la comédie, 33000 Bordeaux",BORDEAUX,33800,33,23 June 2026,,
6,Marchés,Marché mardi de Bourg,Marché dominical de Bourg 33710 Bourg,BOURG,33710,33,23 June 2026,,
7,Bals Danses,orchestre Aldo Féliciano,"la Coupole, 36 chemin de nice",SAINT-LOUBES,33450,33,23 June 2026,,
8,Concours de Belote et de Coinchée,Tournois BELOTE tous les mardis,Espace Jacques Brel,SAINT-MEDARD-EN-JALLES,33160,33,23 June 2026,,
9,Lotos Quines et Rifles,Les Lotos à Lesparre,Salle des Fêtes Saint-Trélody 33356 LESPARRE-MEDOC,LESPARRE-MEDOC,33340,33,23 June 2026,,
10,Marchés,Marchés hebdomadaires de Lesparre-Médoc,Marchés hebdomadaires de Lesparre-Médoc 33340 Lesparre-Médoc,LESPARRE-MEDOC,33340,33,23 June 2026,,
11,Lotos Quines et Rifles,Loto,Rue Jean Fourment Salle des Fêtes de St-Trélody 33340 Lesparre-Médoc,LESPARRE-MEDOC,33340,33,23 June 2026,,
12,Marchés bio,Le marché biologique,Place de la Ve République Pessac - 33600,PESSAC,33600,33,23 June 2026,,
13,Concours de Belote et de Coinchée,Club de Belote à St Medard En Jalles,ESPACE JACQUES BREL Saint-Médard-en-Jalles - 33160,SAINT-MEDARD-EN-JALLES,33160,33,23 June 2026,,
14,Marchés,Marché hebdomadaire de Sauveterre de Guyenne,Marché hebdomadaire de Sauveterre de Guyenne 33540 Sauveterre-de-Guyenne,SAUVETERRE-DE-GUYENNE,33540,33,23 June 2026,,
15,Marchés,Marché de l'Aiguillon,Place de l'Aiguillon 33120 Arcachon,ARCACHON,33120,33,24 June 2026,,
16,Marchés,Marché Cours Victor Hugo,Cours Victor Hugo,BEGLES,33130,33,24 June 2026,,
17,Marchés d'été,Marché gourmand,Place de la République 33540 BLASIMON,BLASIMON,33540,33,24 June 2026,,
18,Concerts,NATION OF LANGUAGE,,BORDEAUX -,33800,33,24 June 2026,,
19,Marchés,Les marchés en Blaye Bourg Terres d'Estuaire,Les marchés en Blaye Bourg Terres d'Estuaire 33390 Blaye,BLAYE,33390,33,24 June 2026,,
20,Spectacles,LE FILIP,,BORDEAUX -,33800,33,24 June 2026,,
21,Théatres,Le filip,,BORDEAUX -,33800,33,24 June 2026,,
22,Concerts,Nation of language,,BORDEAUX -,33800,33,24 June 2026,,
23,Marchés,Marché hebdomadaire à Casseuil,Marché hebdomadaire à Casseuil 33190 Casseuil,CASSEUIL,33190,33,24 June 2026,,
24,Marchés,Marché du Tasta,place Jean Moulin 33520 Bruges Gironde Nouvelle-Aquitaine,BRUGES,33520,33,24 June 2026,,
25,Marchés,Marché mercredi,Place Hilaire Saura Floirac - 33270,FLOIRAC,33270,33,24 June 2026,,
26,Marchés,Marché du mercredi matin,Place Adrien Marcel Gayant 33470 Gujan-Mestras,GUJAN-MESTRAS,33470,33,24 June 2026,,
27,Marchés nocturnes,Marchés nocturnes à Monségur,Place Robert Darniche 33580 MONSEGUR,MONSEGUR,33580,33,24 June 2026,,
28,Marchés,Villenave D'Ornon Marché de Chambéry,"Route de Léognan, au coeur du quartier Chambéry Villenave-d'Ornon - 33140",VILLENAVE-D'ORNON,33140,33,24 June 2026,,
29,Marchés aux puces,Les Puces Saint Michel du jeudi,Place saint Michel,BORDEAUX,33800,33,25 June 2026,,
30,Concerts,"Festes Baroques, concert 1",Chapelle de la Madeleine 4 cours Pasteur,BORDEAUX,33800,33,25 June 2026,,
31,Spectacle et comedie musicale,Fantaisy - déjeuner + spectacle,,GAURIAGUET -,33240,33,25 June 2026,,
32,Spectacle et comedie musicale,Fantaisy - spectacle,,GAURIAGUET -,33240,33,25 June 2026,,
33,Salons,Rencontres d'échanges entre collectionneurs,Pessac,PESSAC,33600,33,25 June 2026,,
34,Brocantes,Brocante,Rauzan,RAUZAN,33420,33,25 June 2026,,
35,Marchés,Marché de Labarde,Marché de Labarde 33460 Labarde,LABARDE,33460,33,25 June 2026,,
36,Marchés,Jour de Marché,place Gambetta Villandraut - 33730,VILLANDRAUT,33730,33,25 June 2026,,
37,Marchés,Le jour de marché,Centre ville Lussac,LUSSAC,33570,33,25 June 2026,,
38,Spectacles,Fabulettes,"Auditorium de Bordeaux 8 - 13 Cours Georges Clemenceau, 33000 Bordeaux",BORDEAUX,33800,33,26 June 2026,,
39,Marchés,Marché de plein air,33510 Andernos-les-Bains Place du 14 Juillet,ANDERNOS-LES-BAINS,33510,33,26 June 2026,,
40,Humour et one (wo)man show,The jeff panacloc company,,BORDEAUX -,33800,33,26 June 2026,,
41,Humour et one (wo)man show,Philippe caveriviere,,BORDEAUX -,33800,33,26 June 2026,,
42,Marchés,Marché Place César Franck,Place César Franck,BEGLES,33130,33,26 June 2026,,
43,Marchés aux puces,Les Puces Saint Michel vendredi,Place saint Michel,BORDEAUX,33800,33,26 June 2026,,
44,Marchés de Producteurs,Drive fermier Bordeaux centre,Drive fermier Bordeaux centre 55 rue Lacornée 33000 Bordeaux,BORDEAUX,33800,33,26 June 2026,,
45,Vide-greniers,MARCHÉ DES BOUQUINISTES,Place de la Victoire - 33000 Bordeaux,BORDEAUX,33800,33,26 June 2026,,
46,Vide-greniers,Marche du livre aux Grands Hommes,Bordeaux Place des Grands Hommes,BORDEAUX,33800,33,26 June 2026,,
47,Humour et one (wo)man show,Le paris comedy club,,BORDEAUX -,33800,33,26 June 2026,,
48,Marchés,Marché de Bouliac Halle Vettiner,"Grace au Marché installé au coeur du centre bourg, sous une halle",BOULIAC,33270,33,26 June 2026,,
49,Marchés,Marché avant le weekend de Bourg,"la halle, place de la Libération 33710 Bourg",BOURG,33710,33,26 June 2026,,
50,Marchés de Producteurs,Drive fermier Eysines,Drive fermier Eysines (sortie rocade 7 ou 8) 80 rue du Breteil 33320 Eysines,EYSINES,33320,33,26 June 2026,,
51,Marchés de Producteurs,Drive fermier Gradignan,"Drive fermier Gradignan (sortie rocade 16) Campus Bordeaux Sciences Agro, rue de compostelle 33170 Gradignan",GRADIGNAN,33170,33,26 June 2026,,
52,Marchés de Producteurs,Drive fermier Lormont,Drive fermier Lormont (sortie rocade 26) Domaine Valmont rue Sourbes 33310 Lormont,LORMONT,33310,33,26 June 2026,,
53,Brocantes,brocante pro,Monségur,MONSEGUR,33580,33,26 June 2026,,
54,Brocantes,Brocante,Rauzan,RAUZAN,33420,33,26 June 2026,,
55,Marchés nocturnes,marché hebdomaire semi nocturne,Ville Listrac-Médoc - 33480,LISTRAC-MEDOC,33480,33,26 June 2026,,
56,Marchés,Marché de Macau,"Marché de Macau 1, Place Carnot - 33460 Macau 33460 Macau",MACAU,33460,33,26 June 2026,,
57,Marchés,Marché hebdomadaire de Monségur,Marché hebdomadaire de Monségur 33580 Monségur,MONSEGUR,33580,33,26 June 2026,,
58,Marchés,Marché hebdomadaire,espace François Mitterrand,PAREMPUYRE,33290,33,26 June 2026,,
59,Bals Danses,P'tit Bal Trad du Dimanche,Avenue Léon BLUM,PESSAC,33600,33,26 June 2026,,
60,Marchés,Marché hebdomadaire de Sadirac,Marché hebdomadaire de Sadirac 33670 Sadirac,SADIRAC,33670,33,26 June 2026,,
61,Marchés,LE MARCHÉ HEBDOMADAIRE,place de l’Eglise Saint-Aubin-de-Médoc - 33160,SAINT-AUBIN-DE-MEDOC,33160,33,26 June 2026,,
62,Marchés aux puces,Les Puces de la bastide,Brocante Rue Victor Hugo et rue Alsace Lorraine 33220 Sainte-Foy-La-Grande,SAINTE-FOY-LA-GRANDE,33220,33,26 June 2026,,
63,Marchés,Marché hebdomadaire de St-Laurent-du-Médoc,Marché hebdomadaire de St-Laurent-du-Médoc 33112 Saint-Laurent-Médoc,SAINT-LAURENT-MEDOC,33112,33,26 June 2026,,
