,theme,nom_event,adresse,ville,cp,dep,date_d,date_f,site_web
0,Humour et one (wo)man show,Simon cojean,,AURAY -,56400,56,24 June 2026,,
1,Concours de pétanque et de boules,Concours de pétanque à la mêlée,Rue du stade,DAMGAN,56750,56,24 June 2026,,
2,Marchés,Marché hebdomadaire de Guer,Place de l'Hôtel de Ville - BP 36,GUER,56380,56,24 June 2026,,
3,Marchés,Marché du mercredi à Merville,Lorient,LORIENT,56100,56,24 June 2026,,
4,Concerts,Les Transats,Divers lieux 56890 PLESCOP,PLESCOP,56890,56,24 June 2026,,
5,Marchés,Marché de Pont-Scorff,place de la Maison des Princes,PONT-SCORFF,56620,56,24 June 2026,,
6,Marchés,Marché hebdomadaire,près de l'église 56670 RIANTEC,RIANTEC,56670,56,24 June 2026,,
7,Marchés,marché hebdomadaire,Pen Prad Sauzon - 56360,SAUZON,56360,56,24 June 2026,,
8,Marchés,MARCHÉ À SAINTE-ANNE-D’AURAY,face de la mairie,SAINTE-ANNE-D'AURAY,56400,56,24 June 2026,,
9,Marchés bio,Le marché bio,place Notre-Dame Auray,AURAY,56400,56,25 June 2026,,
10,Marchés,Marché du jeudi,Place Notre-Dame Larmor-Plage - 56260,LARMOR-PLAGE,56260,56,25 June 2026,,
11,Marchés bio,MARCHÉ BIO,RESTALGON Le Faouët - 56320,LE FAOUET,56320,56,25 June 2026,,
12,Marchés,Le marché en semaine,"Bains de la Reine 5 Place du Château, 56160 Guémené-sur-Scorff",GUEMENE-SUR-SCORFF,56160,56,25 June 2026,,
13,Bals Danses,Guiscriff Danser le jeudi,"salle La rose des vents Beg ar Marzin, 56560 Guiscriff",GUISCRIFF,56560,56,25 June 2026,,
14,Marchés,Marché hebdomadaire,hennebont,HENNEBONT,56700,56,25 June 2026,,
15,Marchés de Producteurs,Marché de Kernours,"aire de covoiturage de Kernours, 56700 Kervignac",KERVIGNAC,56700,56,25 June 2026,,
16,Marchés,Marché hebdomadaire,place de la mairie 56390 LOCQUELTAS,LOCQUELTAS,56390,56,25 June 2026,,
17,Marchés,Jour du marché - La Roche-Bernard,"rue Saint-James, rue Crespel de Latouche, Place Saint-Michel et rue de Nantes",LA ROCHE-BERNARD,56130,56,25 June 2026,,
18,Marchés,Le marché du jeudi,place Pierre-Le Guen Roudouallec - 56110,ROUDOUALLEC,56110,56,25 June 2026,,
19,Marchés,Les marchés,centre village Surzur - 56450,SURZUR,56450,56,25 June 2026,,
20,Humour et one (wo)man show,Umut koker,,AURAY -,56400,56,26 June 2026,,
21,Marchés de Producteurs,Le marché alimentaire des producteurs locaux,place Notre-Dame Auray,AURAY,56400,56,26 June 2026,,
22,Marchés de Producteurs,les Vendredis,centre-bourg Baden - 56870,BADEN,56870,56,26 June 2026,,
23,Stages Ateliers,A la découverte des oiseaux du Verger et de la vallée du Loc’h !,Saint-Dégan 56400 BRECH,BRECH,56400,56,26 June 2026,,
24,Marchés,MARCHÉ HEBDOMADAIRE,en centre bourg 56870 BADEN,BADEN,56870,56,26 June 2026,,
25,Marchés de Producteurs,marché de producteurs locaux,"Mairie, - 13 place Foch, CS80130",HENNEBONT,56700,56,26 June 2026,,
26,Marchés,Marché du centre-ville,Place de l'Église 56700 Kervignac,KERVIGNAC,56700,56,26 June 2026,,
27,Marchés,Marché de Kervénanec,parking centre commercial de Kervénanec rue Émile-Jouannic Lorient,LORIENT,56100,56,26 June 2026,,
28,Marchés,&#129365; Marché hebdomadaire,centre-ville de Muzillac,MUZILLAC,56190,56,26 June 2026,,
29,Marchés,Marché hebdomadaire,"Place du Marché, entre la mairie et Carrefour Contact.",PLESCOP,56890,56,26 June 2026,,
30,Marchés,Marché hebdomadaire,Place Saint-Mathurin à Quistinic Quistinic,QUISTINIC,56310,56,26 June 2026,,
31,Marchés aux puces,MARCHÉ DU LIVRES ANCIENS ET DE VINYLES,Place Richemont Sarzeau,SARZEAU,56370,56,26 June 2026,,
32,Marchés bio,LE MARCHÉ BIO HEBDOMADAIRE,place de l’église Séné - 56860,SENE,56860,56,26 June 2026,,
33,Concours de pétanque et de boules,Concours de pétanque à la mêlée,Rue du stade,DAMGAN,56750,56,27 June 2026,,
34,Marchés,Marché hebdomadaire,centre de Damgan,DAMGAN,56750,56,27 June 2026,,
35,Marchés,Marché de Férel,Place de la Mairie 56130 Ferel Place de la Mairie 56130 Ferel,FEREL,56130,56,27 June 2026,,
36,"Randonnées, Trail ou Running",TriatBreizh,,INZINZAC-LOCHRIST -,56650,56,27 June 2026,28 June 2026,
37,Marchés de Producteurs,Marché des producteurs à Lochrist,Marché des producteurs à Lochrist,INZINZAC-LOCHRIST,56650,56,27 June 2026,,
38,Marchés,MARCHÉ,Village Josselin,JOSSELIN,56120,56,27 June 2026,,
39,Marchés de Producteurs,marché des producteurs,parking de la mairie de Kergrist (Morbihan).,KERGRIST,56300,56,27 June 2026,,
40,Marchés,Marché Polig-Monjarret,place Polig-Monjarret Lorient,LORIENT,56100,56,27 June 2026,,
41,Marchés,Marché de Chazelles,Kerentrech cours de Chazelles Lorient,LORIENT,56100,56,27 June 2026,,
42,Marchés,Le marché du samedi,Centre village Locmariaquer,LOCMARIAQUER,56740,56,27 June 2026,,
43,Marchés,Marchés de Merville,halles de Merville avenue Anatole-France Lorient,LORIENT,56100,56,27 June 2026,,
44,Marchés,Marché Hebdomadaire de Mauron,Les Halles - Place de l'Église 56430 Mauron,MAURON,56430,56,27 June 2026,,
45,Marchés de Producteurs,Marché,place de l’Église Noyal-Pontivy - 56920,NOYAL-PONTIVY,56920,56,27 June 2026,,
46,Bals Danses,LE VALENTINO,Le Valentino Lieu-Dit Penquelen 56530 Queven,QUEVEN,56530,56,27 June 2026,,
47,Marchés,marché hebdomadaire,parking du centre commercial des Ajoncs d’Or Saint-Nolff - 56250,SAINT-NOLFF,56250,56,27 June 2026,,
48,Marchés,MARCHÉ DU WEEKEND,place Nicolazic,SAINTE-ANNE-D'AURAY,56400,56,27 June 2026,,
49,Humour et one (wo)man show,Yann jamet,,AURAY -,56400,56,28 June 2026,,
50,Marchés,Le marché dominical,place de l’hôtel de ville Saint-Avé - 56890,SAINT-AVE,56890,56,28 June 2026,,
51,Messes,Pardon et fête de Sainte-Barbe au Faouët,Sainte-Barbe &nbsp;,LE FAOUET,56320,56,28 June 2026,,
52,Bals Danses,Guiscriff Danser le dimanche,LA ROSE DES VENTS Guiscriff-Rose des Vents&nbsp;(56)&nbsp;,GUISCRIFF,56560,56,28 June 2026,,
53,Bals Danses,déjeuner Après-midi Dansant,salle La Rose des Vents Guiscriff(56),GUISCRIFF,56560,56,28 June 2026,,
54,Marchés,Marché du dimanche,Place Notre-Dame Larmor-Plage - 56260,LARMOR-PLAGE,56260,56,28 June 2026,,
55,"Randonnées, Trail ou Running",Les randonnées du dimanche avec Muz Les S'Melles,parking de la Médiathèque,MUZILLAC,56190,56,28 June 2026,,
56,Sorties Moto,Motocross National à Mohon,Mohon,MOHON,56490,56,28 June 2026,,
57,Bals Danses,Aprés-midi Dansant,salle La Porte du Golfe Muzillac(56),MUZILLAC,56190,56,28 June 2026,,
58,Marchés,Marché de Pénestin,Rue de l'Eglise 56760 Penestin Rue de l'Eglise 56760 Penestin,PENESTIN,56760,56,28 June 2026,,
59,Bals Danses,Dansez à Pluneret le garden,Pluneret&nbsp;(56),PLUNERET,56400,56,28 June 2026,,
60,Vide-greniers,Vide-greniers et marché aux puces,,PLUNERET -,56400,56,28 June 2026,,
61,Bals Danses,Le Dancing,Le Valentino Lieu-Dit Penquelen 56530 Queven,QUEVEN,56530,56,28 June 2026,,
62,Bals Danses,après-midi dansante,salle discothéque LE VALENTINO Quéven (56),QUEVEN,56530,56,28 June 2026,,
