,nom,url,adresse,latitude,longitude
3,Beauval,https://www.zoofrance.com/zoo-beauval/,Avenue du Blanc 41110 Saint-Aignan-sur-Cher,47.247579,1.353391
5,Séjours Hôtels,https://www.zoofrance.com/zoo-beauval/hotels/,Route de Beauval 41110 Saint-Aignan-sur-Cher,,
7,Paris,https://www.zoofrance.com/zoo-paris-vincennes/,route de la Ceinture du Lac Daumesnil 75012 Paris,48.83375,2.41273
8,Le PAL,https://www.zoofrance.com/zoo-le-pal/,Saint-Pourçain-sur-Besbre CS 60001 03290 Dompierre-sur-Besbre,,
9,Thoiry,https://www.zoofrance.com/zoo-thoiry/,rue du Pavillon de Montreuil 78770 Thoiry,48.8634,1.79788
10,Amnéville,https://www.zoofrance.com/zoo-amneville/,1 rue du Tigre 57360 Amnéville,49.2455528,6.137827
11,La Flèche,https://www.zoofrance.com/zoo-la-fleche/,Le Tertre Rouge 72200 La Flèche,,
12,Nausicaa,https://www.zoofrance.com/nausicaa-boulogne-sur-mer/,Boulevard Sainte Beuve 62203 Boulogne-sur-Mer,50.730934,1.595746
13,Sigean,https://www.zoofrance.com/reserve-africaine-sigean/,19 Chemin Hameau du lac 11130 Sigean,43.06271,2.949801
14,Peaugres,https://www.zoofrance.com/safari-peaugres/,Safari de Peaugres 07340 Peaugres,45.26959,4.71352
15,La Palmyre,https://www.zoofrance.com/zoo-la-palmyre/,6 Avenue de Royan 17570 Les Mathes,,
16,Lumigny,https://www.zoofrance.com/parc-des-felins-nesles/,La Fortelle 77540 Lumigny-Nesles-Ormeaux,48.7139342,2.9597903
17,Barben,https://www.zoofrance.com/zoo-la-barben/,Route du Château 13330 La Barben,43.6235,5.2058
18,Doué la Fontaine,https://www.zoofrance.com/bioparc-doue-la-fontaine/,103 rue de Cholet 49700 Doué-la-Fontaine,,
19,Aquarium de Paris,https://www.zoofrance.com/aquarium-de-paris/,5 Avenue Albert de Mun 75016 Paris,48.862236,2.29099
20,Aquarium de Saint-Malo,https://www.zoofrance.com/aquarium-saint-malo/,Avenue du Général Patton 35400 Saint-Malo,,
